symptom,state,Up to 2018-08-01,Up to 2018-09-01,aggregate_correlation
Abdominal Pain,AL,20,14,57
Ageusia,AL,26,40,39
Agnosia,AL,43,76,73
Agraphia,AL,16,12,53
Amaurosis Fugax,AL,28,72,77
Amblyopia,AL,33,5,60
Amnesia,AL,47,16,31
Angina Pectoris,AL,30,7,62
Anisocoria,AL,23,38,36
Anomia,AL,30,7,62
Anorexia,AL,71,63,18
Anoxia,AL,72,1,81
Aphasia,AL,62,48,9
Apnea,AL,70,46,11
Arthralgia,AL,57,50,13
Asthenia,AL,75,67,25
Ataxia,AL,76,61,26
Back Pain,AL,20,14,57
Birth Weight,AL,58,51,14
Blindness,AL,74,63,21
Body Weight,AL,60,54,16
Bulimia,AL,72,63,18
Cachexia,AL,28,72,77
Catatonia,AL,23,38,36
Cerebellar Ataxia,AL,23,38,36
Chest Pain,AL,20,14,57
Chills,AL,20,14,57
Chorea,AL,6,27,43
Colic,AL,69,65,23
Coma,AL,3,71,82
Communication Disorders,AL,45,77,75
Confusion,AL,49,36,2
Constipation,AL,20,14,57
Coprophagia,AL,48,69,32
Cough,AL,20,14,57
Cyanosis,AL,53,56,5
Deafness,AL,57,50,13
Delirium,AL,37,34,67
Diarrhea,AL,20,14,57
Diplopia,AL,43,59,73
Dizziness,AL,20,14,57
Dysarthria,AL,8,29,45
Dysgeusia,AL,64,46,7
Dyslexia,AL,55,57,19
Dysmenorrhea,AL,63,47,10
Dyspepsia,AL,77,59,27
Dysphonia,AL,78,43,28
Dyspnea,AL,49,36,2
Dystonia,AL,42,52,72
Dysuria,AL,54,56,6
Earache,AL,21,15,58
Ecchymosis,AL,65,44,8
Echolalia,AL,52,37,3
Edema,AL,39,17,69
Emaciation,AL,10,31,47
Encopresis,AL,25,39,38
Eructation,AL,11,32,48
Eye Pain,AL,20,14,57
Facial Pain,AL,64,46,7
Fasciculation,AL,56,58,4
Fatigue,AL,20,14,57
Feminization,AL,79,45,29
Fever,AL,20,14,57
Flank Pain,AL,53,56,5
Flatulence,AL,68,64,22
Flushing,AL,51,42,1
Gagging,AL,47,67,31
Gastroparesis,AL,40,74,70
Halitosis,AL,29,73,78
Hallucinations,AL,22,68,59
Headache,AL,20,14,57
Hearing Loss,AL,69,65,22
Heartburn,AL,20,14,57
Hematemesis,AL,44,76,74
Hemianopsia,AL,4,25,41
Hemiplegia,AL,13,20,50
Hemoglobinuria,AL,7,28,44
Hemoptysis,AL,15,2,52
Hiccup,AL,38,35,68
Hirsutism,AL,76,61,26
Hoarseness,AL,78,43,28
Horner Syndrome,AL,52,37,3
Hot Flashes,AL,34,6,61
Hydrops Fetalis,AL,14,18,51
Hyperacusis,AL,77,59,27
Hyperalgesia,AL,16,12,53
Hypercapnia,AL,52,37,3
Hyperemesis Gravidarum,AL,2,70,80
Hyperesthesia,AL,1,69,79
Hyperventilation,AL,41,75,71
Hypocapnia,AL,1,69,79
Hypothermia,AL,59,53,15
Hypoventilation,AL,1,69,79
Illusions,AL,71,63,18
Intermittent Claudication,AL,12,33,49
Jaundice,AL,64,44,7
Labor Pain,AL,35,21,33
Lethargy,AL,51,42,1
Livedo Reticularis,AL,13,19,50
Low Back Pain,AL,76,61,26
