date,cough,fever,amnesia,sore throat,sore joint,isPartial,allergy,diarrhea,runny nose,sneeze,state,itch
2004-01-01,11,26,6,6,0,False,21,13,8,0,AL,8
2004-02-01,11,33,11,5,0,False,16,16,0,0,AL,8
2004-03-01,15,74,0,7,0,False,55,11,11,11,AL,11
2004-04-01,16,24,0,5,0,False,40,8,0,0,AL,8
2004-05-01,8,41,0,8,0,False,19,19,0,15,AL,15
2004-06-01,12,35,5,5,0,False,15,11,0,7,AL,7
2004-07-01,15,38,0,8,0,False,37,34,7,0,AL,7
2004-08-01,9,32,0,7,0,False,30,20,0,0,AL,7
2004-09-01,13,31,4,18,0,False,39,7,0,0,AL,16
2004-10-01,5,43,0,5,0,False,20,20,0,7,AL,17
2004-11-01,5,28,0,5,0,False,28,14,0,0,AL,7
2004-12-01,20,26,0,11,0,False,35,6,6,0,AL,13
2005-01-01,18,42,4,4,0,False,27,5,0,8,AL,8
2005-02-01,32,28,7,7,0,False,33,33,0,0,AL,14
2005-03-01,15,37,0,10,0,False,37,10,5,0,AL,0
2005-04-01,15,33,0,6,0,False,44,14,0,5,AL,5
2005-05-01,5,45,0,5,0,False,26,28,0,0,AL,10
2005-06-01,5,47,0,5,0,False,23,10,5,5,AL,13
2005-07-01,24,32,3,3,0,False,17,12,0,0,AL,17
2005-08-01,6,27,3,3,0,False,23,9,0,0,AL,18
2005-09-01,7,40,0,4,0,False,38,17,0,0,AL,15
2005-10-01,16,27,3,4,0,False,18,6,4,8,AL,4
2005-11-01,15,39,6,8,0,False,31,10,4,4,AL,10
2005-12-01,18,45,3,16,0,False,16,14,0,0,AL,8
2006-01-01,17,29,0,7,0,False,30,11,4,4,AL,7
2006-02-01,22,23,5,0,0,False,32,9,4,0,AL,9
2006-03-01,14,40,7,7,0,False,34,16,0,0,AL,10
2006-04-01,7,32,0,7,0,False,29,15,3,3,AL,17
2006-05-01,13,36,2,4,0,False,28,11,3,3,AL,10
2006-06-01,9,26,2,3,0,False,35,8,10,5,AL,10
2006-07-01,11,36,0,2,0,False,16,11,0,3,AL,5
2006-08-01,10,40,0,7,0,False,27,6,3,9,AL,9
2006-09-01,10,33,2,6,0,False,22,14,0,3,AL,14
2006-10-01,14,43,0,12,0,False,20,13,4,4,AL,11
2006-11-01,9,38,2,5,0,False,24,19,3,0,AL,12
2006-12-01,16,39,2,6,0,False,38,16,0,5,AL,7
2007-01-01,17,44,2,8,0,False,24,10,2,3,AL,9
2007-02-01,18,30,2,7,0,False,23,18,2,4,AL,9
2007-03-01,11,54,2,8,0,False,22,13,0,4,AL,7
2007-04-01,11,46,1,6,0,False,30,12,2,3,AL,4
2007-05-01,10,27,2,5,0,False,39,15,0,6,AL,12
2007-06-01,7,40,3,7,0,False,25,17,4,3,AL,12
2007-07-01,10,38,0,5,0,False,30,16,3,2,AL,17
2007-08-01,13,40,2,8,0,False,37,12,2,0,AL,9
2007-09-01,13,51,0,7,0,False,26,10,4,5,AL,13
2007-10-01,14,43,1,5,0,False,31,19,0,4,AL,11
2007-11-01,12,49,4,10,0,False,30,12,2,2,AL,6
2007-12-01,15,49,1,6,0,False,19,9,4,2,AL,10
2008-01-01,19,34,1,7,0,False,22,9,2,0,AL,4
2008-02-01,29,50,6,11,0,False,24,13,14,4,AL,12
2008-03-01,16,36,2,9,0,False,29,15,3,3,AL,6
2008-04-01,11,41,2,4,0,False,33,11,2,6,AL,8
2008-05-01,16,41,2,5,0,False,41,18,3,3,AL,17
2008-06-01,11,36,2,4,0,False,28,16,4,2,AL,10
2008-07-01,10,39,5,6,0,False,16,16,2,3,AL,17
2008-08-01,8,37,1,6,0,False,33,15,2,2,AL,15
