date,cough,Morning Sickness,Synkinesis,Purpura Fulminans,Renal Colic,isPartial,"Alexia, Pure","Aphasia, Conduction",Stupor,Urinoma,state,Deaf-Blind Disorders,Eye Pain,Reticulocytosis,Systolic Murmurs,Piriformis Muscle Syndrome,Primary Progressive Nonfluent Aphasia,Susac Syndrome,Sweating Sickness,Alien Hand Syndrome,Body Weight Changes,Necrolytic Migratory Erythema,Striae Distensae,Infantile Apparent Life-Threatening Event,Slit Ventricle Syndrome
2004-01-01,24,8,0,0,0,False,0,0,0,0,AL,0,8,0,0,0,0,0,0,0,0,0,0,0,0
2004-02-01,15,8,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-03-01,21,21,0,0,0,False,0,0,0,0,AL,0,16,0,0,0,0,0,0,0,0,0,0,0,0
2004-04-01,23,8,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-05-01,15,7,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-06-01,21,7,0,0,0,False,0,0,0,0,AL,0,7,0,0,0,0,0,0,0,0,0,0,0,0
2004-07-01,29,7,0,0,0,False,0,0,0,0,AL,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2004-08-01,16,6,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-09-01,12,6,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-10-01,6,6,0,0,6,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-11-01,20,0,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004-12-01,18,6,0,0,0,False,0,0,0,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-01-01,33,5,0,0,0,False,0,0,0,0,AL,0,11,0,0,0,0,0,0,0,0,0,0,0,0
2005-02-01,37,5,0,0,0,False,0,0,0,0,AL,0,5,0,0,0,0,0,0,0,0,0,0,0,0
2005-03-01,26,5,0,0,0,False,0,0,5,0,AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005-04-01,13,11,0,0,0,False,0,0,5,0,AL,0,5,0,0,0,0,0,0,0,0,0,0,0,0
