date,Morning Sickness,isPartial,state,symptom
2004-01-01,0,False,AL,Morning Sickness
2004-02-01,37,False,AL,Morning Sickness
2004-03-01,100,False,AL,Morning Sickness
2004-04-01,37,False,AL,Morning Sickness
2004-05-01,71,False,AL,Morning Sickness
2004-06-01,0,False,AL,Morning Sickness
2004-07-01,35,False,AL,Morning Sickness
2004-08-01,62,False,AL,Morning Sickness
2004-09-01,60,False,AL,Morning Sickness
2004-10-01,31,False,AL,Morning Sickness
2004-11-01,0,False,AL,Morning Sickness
2004-12-01,29,False,AL,Morning Sickness
2005-01-01,37,False,AL,Morning Sickness
2005-02-01,52,False,AL,Morning Sickness
2005-03-01,23,False,AL,Morning Sickness
2005-04-01,50,False,AL,Morning Sickness
2005-05-01,24,False,AL,Morning Sickness
2005-06-01,47,False,AL,Morning Sickness
2005-07-01,46,False,AL,Morning Sickness
2005-08-01,42,False,AL,Morning Sickness
2005-09-01,29,False,AL,Morning Sickness
2005-10-01,37,False,AL,Morning Sickness
2005-11-01,19,False,AL,Morning Sickness
2005-12-01,28,False,AL,Morning Sickness
2006-01-01,0,False,AL,Morning Sickness
2006-02-01,16,False,AL,Morning Sickness
2006-03-01,23,False,AL,Morning Sickness
2006-04-01,31,False,AL,Morning Sickness
2006-05-01,30,False,AL,Morning Sickness
2006-06-01,31,False,AL,Morning Sickness
2006-07-01,15,False,AL,Morning Sickness
2006-08-01,26,False,AL,Morning Sickness
2006-09-01,26,False,AL,Morning Sickness
2006-10-01,31,False,AL,Morning Sickness
2006-11-01,25,False,AL,Morning Sickness
2006-12-01,25,False,AL,Morning Sickness
2007-01-01,11,False,AL,Morning Sickness
2007-02-01,17,False,AL,Morning Sickness
2007-03-01,10,False,AL,Morning Sickness
2007-04-01,10,False,AL,Morning Sickness
2007-05-01,19,False,AL,Morning Sickness
2007-06-01,20,False,AL,Morning Sickness
2007-07-01,37,False,AL,Morning Sickness
2007-08-01,18,False,AL,Morning Sickness
2007-09-01,18,False,AL,Morning Sickness
2007-10-01,12,False,AL,Morning Sickness
2007-11-01,25,False,AL,Morning Sickness
2007-12-01,18,False,AL,Morning Sickness
2008-01-01,23,False,AL,Morning Sickness
2008-02-01,16,False,AL,Morning Sickness
2008-03-01,8,False,AL,Morning Sickness
2008-04-01,26,False,AL,Morning Sickness
2008-05-01,31,False,AL,Morning Sickness
2008-06-01,21,False,AL,Morning Sickness
2008-07-01,31,False,AL,Morning Sickness
2008-08-01,23,False,AL,Morning Sickness
2008-09-01,21,False,AL,Morning Sickness
2008-10-01,23,False,AL,Morning Sickness
2008-11-01,18,False,AL,Morning Sickness
2008-12-01,14,False,AL,Morning Sickness
2009-01-01,29,False,AL,Morning Sickness
2009-02-01,24,False,AL,Morning Sickness
2009-03-01,13,False,AL,Morning Sickness
2009-04-01,19,False,AL,Morning Sickness
2009-05-01,17,False,AL,Morning Sickness
2009-06-01,17,False,AL,Morning Sickness
2009-07-01,20,False,AL,Morning Sickness
2009-08-01,19,False,AL,Morning Sickness
2009-09-01,24,False,AL,Morning Sickness
2009-10-01,33,False,AL,Morning Sickness
2009-11-01,25,False,AL,Morning Sickness
2009-12-01,37,False,AL,Morning Sickness
2010-01-01,26,False,AL,Morning Sickness
2010-02-01,26,False,AL,Morning Sickness
2010-03-01,25,False,AL,Morning Sickness
2010-04-01,14,False,AL,Morning Sickness
2010-05-01,19,False,AL,Morning Sickness
2010-06-01,26,False,AL,Morning Sickness
2010-07-01,9,False,AL,Morning Sickness
2010-08-01,31,False,AL,Morning Sickness
2010-09-01,30,False,AL,Morning Sickness
2010-10-01,30,False,AL,Morning Sickness
2010-11-01,40,False,AL,Morning Sickness
2010-12-01,8,False,AL,Morning Sickness
2011-01-01,29,False,AL,Morning Sickness
2011-02-01,21,False,AL,Morning Sickness
