symptom	state	count
Body Weight	AL	177
Body Weight	AK	177
Body Weight	AZ	177
Body Weight	AR	177
Body Weight	CA	177
Body Weight	CO	177
Body Weight	CT	177
Body Weight	DC	177
Body Weight	DE	177
Body Weight	FL	177
Body Weight	GA	177
Body Weight	HI	177
Body Weight	ID	177
Body Weight	IL	177
Body Weight	IN	177
Body Weight	IA	177
Body Weight	KS	177
Body Weight	KY	177
Body Weight	LA	177
Body Weight	ME	177
Body Weight	MD	177
Body Weight	MA	177
Body Weight	MI	177
Body Weight	MN	177
Body Weight	MS	177
Body Weight	MO	177
Body Weight	MT	177
Body Weight	NE	177
Body Weight	NV	177
Body Weight	NH	177
Body Weight	NJ	177
Body Weight	NM	177
Body Weight	NY	177
Body Weight	NC	177
Body Weight	ND	177
Body Weight	OH	177
Body Weight	OK	177
Body Weight	OR	177
Body Weight	PA	177
Body Weight	RI	177
Body Weight	SC	177
Body Weight	SD	177
Body Weight	TN	177
Body Weight	TX	177
Body Weight	UT	177
Body Weight	VT	177
Body Weight	VA	177
Body Weight	WA	177
Body Weight	WV	177
Body Weight	WI	177
Body Weight	WY	177
Pain	AL	177
Pain	AK	177
Pain	AZ	177
Pain	AR	177
Pain	CA	177
Pain	CO	177
Pain	CT	177
Pain	DC	177
Pain	DE	177
Pain	FL	177
Pain	GA	177
Pain	HI	177
Pain	ID	177
Pain	IL	177
Pain	IN	177
Pain	IA	177
Pain	KS	177
Pain	KY	177
Pain	LA	177
Pain	ME	177
Pain	MD	177
Pain	MA	177
Pain	MI	177
Pain	MN	177
Pain	MS	177
Pain	MO	177
Pain	MT	177
Pain	NE	177
Pain	NV	177
Pain	NH	177
Pain	NJ	177
Pain	NM	177
Pain	NY	177
Pain	NC	177
Pain	ND	177
Pain	OH	177
Pain	OK	177
Pain	OR	177
Pain	PA	177
Pain	RI	177
Pain	SC	177
Pain	SD	177
Pain	TN	177
Pain	TX	177
Pain	UT	177
Pain	VT	177
Pain	VA	177
Pain	WA	177
Pain	WV	177
Pain	WI	177
Pain	WY	177
Obesity	AL	177
Obesity	AK	177
Obesity	AZ	177
Obesity	AR	177
Obesity	CA	177
Obesity	CO	177
Obesity	CT	177
Obesity	DC	177
Obesity	DE	177
Obesity	FL	177
Obesity	GA	177
Obesity	HI	177
Obesity	ID	177
Obesity	IL	177
Obesity	IN	177
Obesity	IA	177
Obesity	KS	177
Obesity	KY	177
Obesity	LA	177
Obesity	ME	177
Obesity	MD	177
Obesity	MA	177
Obesity	MI	177
Obesity	MN	177
Obesity	MS	177
Obesity	MO	177
Obesity	MT	177
Obesity	NE	177
Obesity	NV	177
Obesity	NH	177
Obesity	NJ	177
Obesity	NM	177
Obesity	NY	177
Obesity	NC	177
Obesity	ND	177
Obesity	OH	177
Obesity	OK	177
Obesity	OR	177
Obesity	PA	177
Obesity	RI	177
Obesity	SC	177
Obesity	SD	177
Obesity	TN	177
Obesity	TX	177
Obesity	UT	177
Obesity	VT	177
Obesity	VA	177
Obesity	WA	177
Obesity	WV	177
Obesity	WI	177
Obesity	WY	177
Anoxia	AL	177
Anoxia	AK	NoData
Anoxia	AZ	177
Anoxia	AR	177
Anoxia	CA	177
Anoxia	CO	177
Anoxia	CT	177
Anoxia	DC	177
Anoxia	DE	NoData
Anoxia	FL	177
Anoxia	GA	177
Anoxia	HI	177
