state,cluster,corr,members,window
AK,5,0.9997400424393716,"['Gastroparesis', 'Neuralgia']",2005-01
AL,1,0.7049669319947921,"['Syncope', 'Agnosia', 'Halitosis', 'Hyperventilation', 'Hematemesis']",2005-01
AR,12,0.7100770445484869,"['Chills', 'Dyspnea', 'Body Weight', 'Colic']",2005-01
AZ,16,0.7727673469533153,"['Sweating Sickness', 'Paresthesia', 'Chorea', 'Metatarsalgia', 'Miosis']",2005-01
CA,15,0.6894530751235985,"['Chills', 'Hallucinations', 'Agraphia', 'Respiratory Aspiration', 'Renal Colic', 'Hypercalciuria']",2005-01
CO,12,0.6704893404270819,"['Eye Pain', 'Spasm']",2005-01
CT,3,0.6466924080611258,"['Agnosia', 'Arthralgia', 'Pruritus', 'Sleep Deprivation', 'Sneezing', 'Flatulence', 'Confusion', 'Pallor', 'Catatonia']",2005-01
DC,7,0.6577686295332,"['Echolalia', 'Angina Pectoris', 'Pruritus', 'Paraplegia']",2005-01
DE,12,0.6567312726422292,"['Halitosis', 'Dystonia', 'Edema', 'Neuralgia', 'Blindness', 'Spasm']",2005-01
FL,2,0.6141467255852516,"['Body Weight', 'Confusion', 'Dystonia', 'Flushing']",2005-01
GA,17,0.6959716556990098,"['Chest Pain', 'Tics', 'Aphasia']",2005-01
HI,12,0.7871507206661101,"['Nocturia', 'Chills', 'Seizures', 'Dystonia', 'Tics']",2005-01
IA,4,0.7386178972663182,"['Low Back Pain', 'Vomiting']",2005-01
ID,11,0.5663763808831053,"['Dysmenorrhea', 'Pelvic Pain', 'Hypothermia', 'Vomiting', 'Blindness', 'Fever', 'Stupor']",2005-01
IL,15,0.8226026807859067,"['Nocturia', 'Intermittent Claudication']",2005-01
IN,6,0.6415747215299628,"['Oliguria', 'Tetany', 'Morning Sickness', 'Eye Hemorrhage', 'Myoclonus', 'Amblyopia', 'Angina Pectoris', 'Paresis']",2005-01
KS,12,0.7163988208945096,"['Chest Pain', 'Paralysis', 'Body Weight']",2005-01
KY,8,0.6161153858383827,"['Hyperalgesia', 'Hyperventilation', 'Overweight']",2005-01
LA,9,0.657942179312175,"['Apnea', 'Vomiting']",2005-01
MA,15,0.6777342216823131,"['Facial Paralysis', 'Sneezing']",2005-01
MD,10,0.7322794526378242,"['Syncope', 'Mutism', 'Facial Pain', 'Hemoglobinuria', 'Hyperemesis Gravidarum', 'Fasciculation', 'Dysphonia']",2005-01
ME,8,0.6634711358125479,"['Dizziness', 'Overweight']",2005-01
MI,16,0.7169854314799656,"['Angina Pectoris', 'Sciatica', 'Overweight']",2005-01
MN,9,0.7923251531018357,"['Stupor', 'Dizziness', 'Proteinuria']",2005-01
MO,9,0.6547232787101929,"['Acute Coronary Syndrome', 'Pruritus', 'Chest Pain', 'Paraplegia', 'Catatonia']",2005-01
